Unnamed: 0,Norwegian,English
230,ulik,"different, unlike"
231,hvorfor,"why, wherefore"
232,lissom,"somehow, sort of"
233,en jobb,"job, work"
234,alltid,always; at least
235,en topp,"top, peak, summit"
236,deres,"their, theirs <possessive of de>"
237,å prøve,"to try, test"
238,sikker,reliable; safe; sure
239,et selskap,"company, society"
240,samtidig,simultaneous 
241,vanskelig,"difficult, hard "
242,å jobbe,to speculate in stocks [derog.]; work
243,å sitte,"to sit, be seated "
244,å snakke,"to speak, talk "
245,å slå,"to beat, hit"
246,lenge,for a long time
247,å be,to ask; pray
248,nesten,"almost, nearly, all but "
249,å føre,"to conduct, guide, bring, carry"
250,egentlig,"actual, proper, real"
251,å bygge,"to build, construct; [fig.] be based on"
252,å følge,"to follow, succeed"
253,kort,"brief, short; curt"
254,en bil,"automobile, car"
255,allerede,"already, by now"
256,ganske,"quite, entirely"
257,å vinne,"to win, gain"
258,et resultat,result 
259,sen,"late, slow "
260,fortsatt,constantly
261,vanlig,"usual, customary"
262,å møte,"to meet, encounter"
263,gjerne,"gladly, readily, willingly"
264,altså,so - accordingly
265,å håpe,to hope
266,et tall,"number, figure"
267,hei,"hey, hey there"
268,et navn,name 
269,å føle,"to feel, sense"
270,en måned,month 
271,ja,yes
272,en artikkel,article
273,å selge,"to sell; market, dispose of"
274,en student,student
275,en slutt,"end, result, finish "
276,informasjon -en,[the] information
277,likevel,"all the same, nevertheless"
278,forskjellig,"different, unlike; distinct"
279,et lag,"layer, stratum; class, social stratum"
280,is -en,[the] ice
281,sånn,"like that, such"
282,å virke,"to act, go, work"
283,hvem,"who, whom"
284,å la,"to allow, let"
285,en hund,dog
286,ute,"out, outside "
287,ung,"young, youthful "
288,en tur,"trip, excursion, tour "
289,å skape,"to form, make "
290,dermed,"at that, so, with that"
291,et prosjekt,project
292,en kveld,"eve, evening; supper"
293,et løp,"race, run"
294,å kalle,to call (cry; summon)
295,en lov,"law; leave, permission; commendation"
296,et forum,forum
297,enda,still [before comparatives]; more [before numerals]
298,en historie,history
299,å vente,to wait 
300,å bety,"to mean, signify"
301,å kreve,"to ask, claim, call for"
302,å fortsette,"to continue, carry on, resume"
303,akkurat,precisely
304,bak,"behind, in the rear of"
305,å kjøre,"to drive, ride"
306,ei utvikling,"development, exposition"
307,ei jente,girl
308,en feil,"erroneous, incorrect, wrong"
309,oktober,October 
310,fire,four
311,eneste,"only, single"
312,et krav,demand; claim
313,politisk,political 
314,et ord,word 
315,mai,May
316,å betale,to pay
317,en grad,degree
318,begge,both; either
319,å endre,"to alter, change"
320,å poste,"to post, mail "
321,et friminutt,(school) recess
322,innen,"[lit.] inside, within"
323,nei,no 
324,å hjelpe,"to aid, assist, help"
325,lav,low
326,å dra,"to drag, pull, attract, draw"
327,å drive,"to drive, froce; drift, float"
328,å spørre,to ask
329,ei gruppe,group
330,å leve,"to be alive, live"
331,hjelp -en,"[the] help, aid"
332,meget,"very, much <neutral of megen>"
333,ei form,"form, shape, mold"
334,offentlig,"governmental, public"
335,et forslag,"proposal, proposition"
336,enkelt,"single, individual"
337,særlig,"special, particular "
338,virkelig,"actual, real, very"
339,samt,"together with, and, and also "
340,imidlertid,at the same time
341,å lure,to eavesdrop; spy; speculate
342,et spill,game 
343,et valg,"choice, alternative "
344,uansett,notwithstanding; without regard to 
345,å forstå,to understand
346,å lære,to learn
347,september,September 
348,å bo,"to dwell, live; remain, stay"
349,å åpne,"to open; begin, launch"
350,å registrere,to register
351,et fall,"drop, fall, falling"
352,et par,"pair, couple "
353,vond,"difficult, hard; evil"
354,internasjonal,international
355,et tema,theme
356,riktig,"correct, right"
357,å publisere,"to publish, give publicity to "
358,et dyr,"animal, beast, brute; deer, hart, stag"
359,en type,type
360,en regel,"rule, regulation"
361,ei regjering,"government, reign "
362,et program,"program, programme "
363,en situasjon,situation 
364,å utvikle,"to develop, evolve, generate "
365,vann -et,[the] water 
366,en familie,family
367,en gutt,"boy; young man, fellow, guy"
368,enig,"agreed, in agreement"
369,en musikk,music 
370,en kontakt,contact; touch; (electric) connection
371,et samfunn,society
372,et hjem,home; native country
373,å bidra,to contribute
374,å vurdere,"to consider, assess"
375,et behov,"need, necessity"
376,å huske,"to rock, swing; recall, bear in mind"
377,å trekke,"to pull, draw, drag"
378,å oppleve,to experience
379,en plan,"plan, design, layout, map, schedule "
380,å nevne,"to name, mention"
381,å ansette,"to appoint, set up, value"
382,et foto,"photo, photograph"
383,å lede,"to guide, lead"
384,ei rekke,"row, line, file, series"
385,mat -en,"[the] fare, food; nourishment"
386,rask,"fast, swift, rapid "
387,en elev,"pupil, apprentice"
388,snar,"quick, swift "
389,å rette,"to correct, mark, straighten, direkt, aim"
390,en stat,state 
391,å slippe,"to let go of, drop "
392,å samle,"to collect, gather "
393,ellers,otherweise; or (else)
394,å fungere,"to act, officiate"
395,fri,to propose
396,å bestemme,to appoint; decide; determine
397,et poeng,point 
398,takk -en,[the] thanks
399,å melde,"to announde, report"
400,ei erfaring,experience
401,et samarbeid,co-operation
402,inne,"indoors, inside, in, within; arrived, at hand"
403,grei,"clear, obvious"
404,å spise,to eat 
405,flott,"generous, liberal, openhanded, superb, grand"
406,hennes,"her, hers <possessive case of hun, ho>"
407,å søke,"to apply, seek"
408,positiv,positive 
409,august,August
410,et minutt,minute 
411,bort,"away, off (motion)"
412,å passe,"to suit, fit, tend "
413,fast,"firm, fixed, solid, stable, permanent"
414,en leder,leader
415,et ansvar,responsibility
416,økonomisk,"financial, economic"
417,en TV,TV
418,en nyhet,news 
419,å falle,to fall
420,ei mening,"meaning, sense "
421,et tilfelle,"instance, case, occurrence"
422,november,November 
423,å handle,"to act; deal, trade"
424,å hete,to be called
425,å sikre,to secure
426,et antall,number
427,utenfor,"outside, off, out of "
428,fredag,Friday
429,fem,five
430,utrolig,"incredible, unbelievable"
431,ifølge,"according to, in accordance with"
432,ei løsning,"answer, solution (of a problem)"
433,å regne,"to rain; estimate, reckon "
434,nødvendig,"necessary, essential "
435,lørdag,Saturday
436,en periode,"period, cycle "
437,ei bu,"hut, shack, shanty"
438,juni,June
440,en tekst,text 
441,ei behandling,"treatment, handling"
442,å redusere,to reduce
443,å reise,"to leave, travel, depart"
444,å benytte,"to make use of, use"
445,et marked,"fair, market"
446,et parti,party 
447,hverandre,each other
448,å anbefale,to recommend
449,en klubb,club
450,en blogg,"blog, weblog "
451,stadig,steady
452,et tiltak,"measure, action, attempt"
453,en sesong,season 
454,å trene,"to train, work out"
455,en spiller,player 
456,en sommer,summer 
457,et kamera,camera
458,en forelder,parent 
459,et hus,house
460,å delta,"to join, participate, share, take part"
461,ei oppgave,"task, duty, commission, exercise"
462,amerikansk,American
463,en kropp,"body; trunk; fellow, guy"
465,generell,general
466,en rapport,"report, bulletin "
467,en debatt,"debate, discussion"
468,huske -a,"[the] swing, seesaw, rock "
469,hard,hard; stiff
470,å svare,to answer
471,en høst,autumn 
472,søndag,Sunday 
473,nemlig,"that is (to say), namely"
474,en forbindelse,connection
475,å flytte,to move
476,et innhold,content; contents; capacity
477,direkte,"direct, immeadiate"
478,aktuell,"up to the minute, of current interest"
479,kunnskap -en,[the] knowledge
480,å mangle,to lack; be short of
481,en meter,meter
482,et alternativ,alternative
483,tross,in spite of 
484,ei hånd,hand
485,spennende,"exciting, thrilling "
486,per,"near, by, a, per "
487,mandag,Monday 
488,aktiv,active
489,en far,father
490,januar,January
491,privat,"private, personal"
492,å arbeide,"to labor, toil, work"
493,fjor,i ~ = last year
494,total,total
495,fort,"fast, quick"
496,å avtale,"to agree upon, arrange"
497,sosial,social 
498,å knytte,"to knot, tie"
499,et rom,room 
500,et kurs,"course, direction; currency; quotation"
501,ei endring,"alteration, change"
502,foran,"before, in front of, ahead of"
503,å levere,"to deliver, furnish"
504,sentral,central 
505,å skjønne,"to understand, see, notice"
506,torsdag,Thursday 
507,upassende,"improper, unseemly "
508,en tanke,"thought, idea"
509,innenfor,"inside; within, back of, beyond"
510,ei rolle,"role, part"
511,å ende,"to end, finish"
512,nettopp,"just, exactly, precisely "
513,en tjeneste,"service, favor, help "
514,en aktivitet,activity
515,å hente,"to fetch, go after"
516,ei forskning,"investigation, research"
517,glad,"glad, happy"
518,å miste,to lose 
519,å bestå,"to live through, pay; continue"
520,onsdag,Wednesday 
521,ei mor,mother 
522,en hilsen,"greet, salutation, regards"
523,april,April
524,åpen,"open, exposed, candid, frank, vacant"
525,en forskjell,difference
526,helst,"preferably, rather"
527,en organisasjon,organization
528,ei fremtid,future
529,å forsøke,"to attempt, try"
530,en kvalitet,quality
531,en rest,"rest, remainder"
532,politi -et,[the] police 
533,interesse -n,[the] interest
534,en verdi,"value, worth"
535,støtte -a,"[the] column, pillar, pedestal"
536,en ball,ball
537,eventuell,"(any) possible, prospective"
538,et øye,eye 
539,ferdig,"prepared, ready"
540,en stemme,"voice, vote, voter "
541,å koste,to cost
542,ålreit,all right
543,et utgangspunkt,"point of departure, starting point, basis "
544,ene,alone
545,svart,black 
546,personlig,personal 
547,ren,"clean, pure, sheer; faultless, true "
548,selvfølgelig,"obvious, natural, inevitable"
549,en krig,"war, warfare"
550,en telefon,telephone
551,ei natt,night 
552,å dele,"to divide, partition; share"
554,et miljø,environment 
555,et råd,"advice, counsel "
556,via,via
557,følgende,"following, next"
558,et system,system 
559,februar,February
560,slett,"even, level, smooth"
561,lik,"like, similar to"
562,en morgen,morning 
563,vær -et,"[the] weather, storm, breath"
564,ekstra,extra
565,endelig,"final, ultimate"
566,en masse,"mass, substance; quantity"
567,et hode,head
568,å klage,to complain
569,å basere,to base
570,selvsagt,"of course, naturally, surely "
571,ei bedrift,achievement; (industrial) concern
572,å inneholde,"to contain, hold"
573,en ungdom,"youth, young people "
574,et lys,light; lighting
575,en lege,"doctor, physician"
576,ei utdanning,education 
577,en politikk,politics; policy 
578,et tilbud,"bid, offer; quotation"
579,ti,ten 
580,en milliard,"thousand million, billion"
581,rød,red 
582,en kontroll,"check, checking; control"
583,dessuten,"besides, in addition, moreover"
584,fornøyd,"content, gratified, satisfied"
585,ei klokke,"bell; clock, watch"
586,ei myndighet,"authority, power "
587,en hest,horse; pony; mount
588,en sammenheng,"relation, connection, coherence"
589,å opprette,to set up; establish
590,ei utfordring,challenge 
591,å tilby,to offer 
592,et tak,ceiling 
593,å hevde,"to assert, claim, defend"
594,en virksomhet,"activity, work, operations"
595,nedpå,down (on)
596,en styrke,strength
597,en klasse,class; grade; classroom
598,ei helse,"health, vigor"
599,uti,"in, out in "
600,aller,"by far, of all, very"
601,ei liste,list
602,fantastisk,"fanciful, fantastic"
603,skikkelig,"decent, respectable "
604,et nivå,level 
605,ei lyst,desire
606,interessant,interesting
607,desember,December
608,ei avis,newspaper
609,kraftig,"powerful, strong"
610,alene,alone
611,unna,"away from, clear of, away, off"
612,ei helg,holiday; Sunday; weekend; sanctity
613,en bakgrunn,background
614,en start,start 
615,forrige,"(the) former, preceding"
616,en praksis,"practice, work experience "
617,å stoppe,to stop 
618,en tråd,"thread, cotton, wire, fibre"
619,en sjanse,"chance, break "
620,viss,"certain, sure "
621,normal,normal
622,slags -en/-et,"[the] kind, sort, type"
623,billig,cheap; reasonable
624,felles,"common, collective, joint"
625,en pasient,patient 
626,å forklare,"to explain, expound, interpret"
627,enten,either; whether
628,en effekt,"effect, sensation"
629,å kaste,to throw; cast; shed
630,en aksje,"share, stock"
631,et grunnlag,"basis, foundation"
632,naturlig,"natural, real, native "
633,en undersøkelse,"examination, investigation"
634,ei vekt,weight 
635,en kunde,customer
636,å tjene,to earn; serve
637,ei dør,door
638,å bytte,"to change, exchange, interchange; swap, trade"
639,et fokus,"focus, centre"
640,en kultur,culture
641,en lærer,(man) teacher
642,å dekke,"to cover, pay (bills, debts, etc.); set (a table)"
643,å presentere,"to present, introduce "
644,en forfatter,author
645,nasjonal,national 
646,å drepe,"to kill, put to death, slay"
647,å forvente,"to expect, anticipate"
648,en fisk,fish
649,tilgjengelig,"accessible, available"
650,hvit,white 
651,alvorlig,"serious, grave"
652,en gjest,guest
653,å slite,"to toil, struggle; work hard"
654,gratis,"free, free of charge"
655,en modell,"model, pattern, shape, form "
656,å fylle,"to fill, cram, stuff"
657,ei betydning,meaning; importance
658,å merke,"to mark, note, notice, get "
659,å glemme,to forget
660,en politiker,politician 
661,å kjempe,"to conted, fight"
662,en farge,"color, hue, shade, tint"
663,å foreslå,to propose
664,et salg,"sale, sales "
665,å henge,"to be hanging, hang"
666,ei jul,Christmas day
667,voksen,"adult, grown-up "
668,gæren,"angry, mad"
669,å planlegge,"to make plans for, plan "
670,atten,eighteen
671,en årsak,"cause, reason, occasion"
672,å slutte,"to end, close, conclude "
673,ingenting,"nothing, not anything"
674,deretter,"after that, afterwards; accordingly"
675,en følelse,feeling
676,en båt,"boat (row/sail); ship, vessel"
677,å tilsvare,"to correspond to, be the same as"
678,en video,video
679,å diskutere,to discuss
680,å utføre,"to export, perform, execute"
681,å elske,to love
682,ei stilling,position; employment 
683,å etablere,to establish
684,å tape,to lose
685,juli,July
686,å unngå,"to avoid, escape"
687,ei skøyte,skate 
688,daglig,daily
689,en opplevelse,experience 
690,en forsker,"investigator, scientist"
691,å vokse,"to grow, increase; wax"
692,å behandle,"to handle, deal with"
693,å beskrive,"to write upon, fill with writing; describe"
694,dessverre,unfortunately
695,ei vurdering,"appreciation, evaluation"
696,sex -en,[the] sex 
697,derimot,on the other hand; however
698,ei kraft,"force, power, strength"
699,å bryte,"to break; disconnect, discontinue"
700,morsom,"funny, amusing, enjoyable "
701,ei kirke,church
702,å utsette,"to put off, postpone; defer"
703,seks,six 
704,overfor,"directly opposite, facing; towards, to "
705,tydelig,"clear, evident "
707,et studium,study 
708,absolutt,absolute
709,en seier,victory 
710,en ledelse,"conduct, direction, management"
711,engelsk,English
712,tirsdag,Tuesday 
713,en lyd,(group of) people; family
714,negativ,negative 
715,halv,half
716,Norge ,Norway
717,død,"dead, lifeless"
718,ei trening,training
719,en tittel,"title, occupation "
720,å love,to promise
721,å satse,"to stake, put, take off"
722,en konsekvens,consistency; consequence
723,ei grense,"border, boundary"
724,å skille,to separate
725,ei melding,"announcement, report"
726,en karakter,character
727,from,"pious, gentle, meek"
728,fremre,"foremost, front"
729,å eie,"to have, own, possess"
730,gal,"crazy, angry"
731,å oppnå,to achieve 
732,en diskusjon,discussion
733,fysisk,"bodily, physical"
734,å påvirke,"to affect, influence "
735,et styre,"government, administration "
736,å fly,"to fly; leave, run"
737,å skyte,"to shoot; put out, send out"
738,et hensyn,consideration
739,fremover,"ahead, forward "
740,å oppta,"to admit, take up, occupy "
741,et besøk,visit; attendance
742,ei bane,"path; railroad; course, field"
743,selve,"(her-, him-, it-)self"
744,å føde,"to feed, nourish"
745,å motta,"to receive, greet "
746,å arrangere,to arrange
747,et medium,medium 
748,svak,weak 
749,en økonomi,"economics; economy, finances "
750,å gjennomføre,"to accomplish, carry out/through"
751,en versjon,version 
752,en fare,"danger, hazard, risk"
753,et nett,net 
754,en kilde,"fountain, spring; [fig.] source"
755,tredje,third 
756,betydelig,considerable
757,en natur,nature 
758,ennå,"still, yet, more"
759,en bank,bank
760,å forsvinne,"to disappear, fade away, vanish"
761,praktisk,"practical, handy "
762,en fotball,"soccer, soccer ball"
763,verken,"neither, nor, either "
764,en test,test
765,imot,towards; against
766,ei visning,showing
767,et rekkehus,row house
768,å avslutte,"to bring to an end, conclude"
769,et bosted,"abode, residence"
770,å tillate,"to permit, allow, suffer, tolerate "
771,øvrig,remaining 
772,borte,"away, off (place)"
773,ei stund,hour 
774,rik,"rich, wealthy, abundant "
775,såkalt,so-called 
776,en konkurranse,"competition, contest"
777,lykke -a,"[the] (good) fortune, luck; happiness"
779,å drikke,to drink
780,en sjekk,cheque 
781,rar,"odd, quaint, strange, funny "
782,en skade,damage
783,vakker,"beautiful, handsome "
784,å treffe,"to meet, come across; hit, strike"
785,å sørge,"to grieve, be grieved "
786,en serie,"series, set "
787,trygg,"secure, safe, confident "
788,en barnehage,day nursery
789,et punkt,point 
790,makt -a,"[the] force, might"
791,faglig,"professional, technical"
792,tvil -en,[the] doubt 
793,en logg,[naut.] log
794,tung,heavy 
795,en funksjon,function
796,et fag,"line, profession; field, subject"
797,syk,sick 
798,å stige,"to climb, mount; rise"
799,et forsøk,"attempt, test"
800,en bjørn,bear; big strong man
801,et bein,"bone; foot, leg"
802,relativ,relative 
803,å overraske,"to surprise, astonish "
804,en prosess,"process, procedure, proceedings "
805,fremdeles,still
806,å løse,"to loosen, release; buy, take out"
807,en evne,"ability, faculty, power"
808,en anledning,"cause, reason"
809,høyre,"right, right-handed"
810,å produsere,to produce
811,effektiv,"effective, efficient, actual"
812,å sammenligne,"to collate, compare "
813,å innebære,to imply
814,en buss,bus
815,en leser,reader
816,å synge,to sing 
817,teknisk,"technological, technical "
818,tilgang -en,"[the] access, admission, supply"
819,å interessere,to interest
820,å sjekke,to check; pick up
821,et utvalg,"selection, choice "
822,ei dame,lady; woman
823,å redde,"to rescue, salvage, save "
824,et universitet,university 
825,en omgang,"round, row, half time, treatment "
826,en profil,profile
827,et skriv,letter 
828,et språk,"language, speech"
829,farlig,"dangerous, hazardous"
830,verdt,worth
831,å inkludere,to include
832,en oversikt,"overview, synopsis, outline, summary "
833,et middel,"means, medium, agent "
834,glede -a,"[the] gladness, happiness"
835,et tap,loss
836,en alder,age
837,en metode,"method, system "
838,et syn,"sight, vision"
839,å eksistere,to exist
840,å takke,to thank
841,fjern,"far, distant, far-off, remote"
842,digital,digital 
843,ete,"to eat (usu. of animals, derog., dial.]"
844,en størrelse,"size, quantity, extent"
845,avhengig,dependent
846,å bære,to carry (an object); bear (a weight)
847,en kompetanse,"authority, jurisdiction; competence"
848,en sang,song 
849,plutselig,sudden
850,sann,"real, true"
851,ei inntekt,"income; profit, revenue"
852,et brev,letter
853,et sykehus,hospital 
854,utover,"outwards, beyond, past "
855,å plassere,to place 
856,en e-post,e-mail 
857,omtrent,"about; nearly, almost "
858,å organisere,to organize
859,å vedta,"to agree, pass, adopt"
860,en stand,standing; state
861,svensk,Swedish 
862,en risiko,"risk, hazard, danger "
863,å besøke,to visit; attend
864,midt,middle 
865,et uttrykk,"expression, look; phrase, term"
866,et press,"pressure, strain, stress "
867,en anmeldelse,critique; report (to police); entry (e.g. in contest)
868,å teste,to test
869,å ødelegge,"to demolish, destroy"
870,ei opplysning,"enlightenment, information "
871,trolig,"likely, probable"
872,ei handling,"act, action"
873,populær,popular 
874,å imponere,to impress
875,å representere,"to represent, entertain"
876,dyp,"deep, intense, profound"
877,en konsert,concert; concerto
878,en kritikk,criticism
879,en produksjon,production
880,en deltaker,"member, participant"
881,å inngå,"to contract, enter into"
882,å invitere,"to ask, invite"
883,tysk,German 
884,å foreta,"to carry out, do, make, undertake"
885,kjent,"acquainted, familiar"
886,tett,"tight, dense"
887,en knapp,button; knob
888,inntil,"as far as, to; against"
889,et faktum,"circumstance, fact"
890,et utstyr,"equipment, outfit, appointments"
891,en standard,standard
892,gjennomført,"consistent, thorough "
893,et tegn,"sign, mark, symbol"
894,ei linje,line
895,en ressurs,resource 
896,en skjerm,"monitor, display "
897,ei befolkning,"populace, population"
898,T-bane -n,[the] subway 
899,ei retning,direction 
900,å skaffe,"to get, get hold of, come by, secure"
901,en tube,tube 
902,moderne,"up-to-date, modern"
903,olje -a,[the] oil 
904,en skatt,tax 
905,en tale,"speech, talk"
906,å lansere,to launch
907,rimelig,"reasonable, fair, likely "
908,en president,president 
909,en konge,king
910,tusen,thousand 
911,å dukke,"to dip, dive, duck; bend, bow"
912,enorm,"enormous, huge"
913,et bibliotek,library
914,en mengde,"amount, quantity, multitude "
915,et næringsliv,"trade, economic life "
916,bred,"broad, wide; extensive; common; boastful"
917,et vedtak,"decision, resolution"
918,ei vare,"ware, goods"
919,et sentrum,centre 
920,å fremme,"to encourage, promote"
921,sjelden,seldom
922,hyggelig,"cheerful, comfortable"
924,ansvarlig,responsible
925,en fordel,"forepart, front part"
926,å oppstå,"to come into being, break out, arise"
927,en rettighet,"right, privilege "
928,å oppdage,"to discover, find out, find "
929,å foregå,"to go on, happen, take place"
930,en teknologi,technology 
931,å innføre,to introduce; import
932,å utgjøre,"to constitute, make, form"
933,å re,to prepare; make (the bed)
934,lignende,"comparable, like, similar"
935,å uttale,"to pronounce, articulate; declare"
936,kristen,Christian
937,oppe,up
938,dansk,Danish
939,et stoff,fabric; matter 
940,frisk,"healthy, fresh"
941,et kjøp,"buying, purchase"
942,et hjerte,heart
943,å begrense,"to bound, limit"
944,å skyldes,"to be attributed to, be owing to"
945,vekst -en,"[the] growth, stature, increase"
946,varm,warm 
947,post -en,"[the] mail, post "
948,umulig,impossible 
949,en sau,sheep 
950,opprinnelig,original 
951,ei kjærlighet,affection
952,en vinter,winter 
953,skyld -a,[the] fault; debt 
954,varme -en,"[the] warmth, heat"
955,et hotell,hotel
956,flink,"able, clever, competent"
957,grønn,"green; fresh, verdant"
958,global,global
959,en forståelse,comprehension
960,mørk,dark
961,å minne,"to remind, put in mind"
962,å godkjenne,"to approve, pass, confirm"
963,å hende,"to happen, occur"
964,å varsle,"to alert, notify"
965,et bord,table; board (of ship)
966,tradisjonell,traditional 
967,en part,"part, portion, share "
968,ei gate,"street, avenue"
969,en konto,[merc.] account
970,enhver,"every (-one, -body)"
971,å ringe,"to ring, call"
972,ei nettside,"site, internet site "
973,et materiale,material
974,et fjøs,cow barn
975,å omtale,to refer to; mention
976,en enebolig,single-family house
977,tom,"empty, void "
978,konkret,concrete
979,ei avdeling,"division, section"
980,historisk,historical
981,publikum -met,[the] (the) general public 
982,å snu,"to turn, turn back "
983,ytterligere,"further, additional"
984,ettersom,"as, according to whether (how), inasmuch as, since"
985,ei ramme,frame
986,europeisk,European
987,å trykke,"to print; depress, squeeze"
988,en unge,"youngster, child, kid"
989,en øl,beer 
990,kald,cold
991,foreløpig,"preliminary, provisional, temporary"
992,en link,(Internet) link; chain of radio stations
