Norwegian,English
mulig,"feasible, possible "
et problem,problem 
en grunn,"basis, ground(s)"
et menneske,"man, person, human"
å øke,"to increase, expand, rise"
tilbake,"back, backward "
å velge,to choose; vote for
hans,his
heller,rather; either
å begynne,"to begin, start"
et tips,"tip, tip-off, hint "
en ting,thing
hos,"at, at sby's, by; in; with; among; from"
vid,wide
et spørsmål,question 
å kjøpe,"to buy, purchase"
rett,"straight, right, correct"
aldri,never
å gjelde,"to be considered, be worth, apply"
like,"directly, right, straight"
en vei,"road, way"
tre,three 
en skole,school 
et medlem,member; fellow
et mål,goal; measure 
ei bok,book
ei kvinne,woman
å trenge,"to need, require; press, force"
spesiell,special 
et arbeid,"employment, job, work, labor"
et tillegg,"addition, amendment"
å klare,to clarify
en plass,"room, space, place, spot "
en prosent,percent
dersom,"if, in case"
fin,"fine, excellent"
ofte,"often, frequently"
hvilken,"what, which; what a"
å fortelle,"to tell (a story), narrate, relate"
en kommune,"municipality (city, town or village)"
en million,million 
sterk,strong
en mulighet,"possibility, chance (of)"
en venn,friend
svær,"heavy, big"
nær,"near, close"
dårlig,"ill; bad, of low quality"
først,"firstly, at first, initially"
en/et bruk,"use; custom, practice, usage"
en pris,"price, rate, prize"
en person,person
et eksempel,"example, instance"
kun,"just, merely"
faktisk,"factual, actual, matter-of-fact, real"
å stille,"to put, place, set"
full,"full, complete"
å starte,to start
neste,"next, following "
et område,"division; area, field, range "
en penge,money
lett,"easy, slight, light"
en time,"hour, time "
ulik,"different, unlike"
hvorfor,"why, wherefore"
lissom,"somehow, sort of"
en jobb,"job, work"
alltid,always; at least
en topp,"top, peak, summit"
deres,"their, theirs <possessive of de>"
å prøve,"to try, test"
sikker,reliable; safe; sure
et selskap,"company, society"
samtidig,simultaneous 
vanskelig,"difficult, hard "
å jobbe,to speculate in stocks [derog.]; work
å sitte,"to sit, be seated "
å snakke,"to speak, talk "
å slå,"to beat, hit"
lenge,for a long time
å be,to ask; pray
nesten,"almost, nearly, all but "
å føre,"to conduct, guide, bring, carry"
egentlig,"actual, proper, real"
å bygge,"to build, construct; [fig.] be based on"
å følge,"to follow, succeed"
kort,"brief, short; curt"
en bil,"automobile, car"
allerede,"already, by now"
ganske,"quite, entirely"
å vinne,"to win, gain"
et resultat,result 
sen,"late, slow "
fortsatt,constantly
vanlig,"usual, customary"
å møte,"to meet, encounter"
gjerne,"gladly, readily, willingly"
altså,so - accordingly
å håpe,to hope
et tall,"number, figure"
hei,"hey, hey there"
et navn,name 
å føle,"to feel, sense"
en måned,month 
ja,yes
en artikkel,"article"
å selge,"to sell; market, dispose of"
en student,student
en slutt,"end, result, finish "
informasjon -en,[the] information
likevel,"all the same, nevertheless"
forskjellig,"different, unlike; distinct"
et lag,"layer, stratum; class, social stratum"
is -en,[the] ice
sånn,"like that, such"
å virke,"to act, go, work"
hvem,"who, whom"
å la,"to allow, let"
en hund,dog
ute,"out, outside "
ung,"young, youthful "
en tur,"trip, excursion, tour "
å skape,"to form, make "
dermed,"at that, so, with that"
et prosjekt,project
en kveld,"eve, evening; supper"
et løp,"race, run"
å kalle,to call (cry; summon)
en lov,"law; leave, permission; commendation"
et forum,forum
enda,still [before comparatives]; more [before numerals]
en historie,history
å vente,to wait 
å bety,"to mean, signify"
å kreve,"to ask, claim, call for"
å fortsette,"to continue, carry on, resume"
akkurat,precisely
bak,"behind, in the rear of"
å kjøre,"to drive, ride"
ei utvikling,"development, exposition"
ei jente,girl
en feil,"erroneous, incorrect, wrong"
oktober,October 
fire,four
eneste,"only, single"
et krav,demand; claim
politisk,political 
et ord,word 
mai,May
å betale,to pay
en grad,degree
begge,both; either
å endre,"to alter, change"
å poste,"to post, mail "
et friminutt,(school) recess
innen,"[lit.] inside, within"
nei,no 
å hjelpe,"to aid, assist, help"
lav,low
å dra,"to drag, pull, attract, draw"
å drive,"to drive, froce; drift, float"
å spørre,to ask
ei gruppe,group
å leve,"to be alive, live"
hjelp -en,"[the] help, aid"
meget,"very, much <neutral of megen>"
ei form,"form, shape, mold"
offentlig,"governmental, public"
et forslag,"proposal, proposition"
enkelt,"single, individual"
særlig,"special, particular "
virkelig,"actual, real, very"
samt,"together with, and, and also "
imidlertid,at the same time
å lure,to eavesdrop; spy; speculate
et spill,game 
et valg,"choice, alternative "
uansett,notwithstanding; without regard to 
å forstå,to understand
å lære,to learn
september,September 
å bo,"to dwell, live; remain, stay"
å åpne,"to open; begin, launch"
å registrere,to register
et fall,"drop, fall, falling"
et par,"pair, couple "
vond,"difficult, hard; evil"
internasjonal,international
et tema,theme
riktig,"correct, right"
å publisere,"to publish, give publicity to "
et dyr,"animal, beast, brute; deer, hart, stag"
en type,type
en regel,"rule, regulation"
ei regjering,"government, reign "
et program,"program, programme "
en situasjon,situation 
å utvikle,"to develop, evolve, generate "
vann -et,[the] water 
en familie,family
en gutt,"boy; young man, fellow, guy"
enig,"agreed, in agreement"
en musikk,music 
en kontakt,contact; touch; (electric) connection
et samfunn,society
et hjem,home; native country
å bidra,to contribute
å vurdere,"to consider, assess"
et behov,"need, necessity"
å huske,"to rock, swing; recall, bear in mind"
å trekke,"to pull, draw, drag"
å oppleve,to experience
en plan,"plan, design, layout, map, schedule "
å nevne,"to name, mention"
å ansette,"to appoint, set up, value"
et foto,"photo, photograph"
å lede,"to guide, lead"
ei rekke,"row, line, file, series"
mat -en,"[the] fare, food; nourishment"
rask,"fast, swift, rapid "
en elev,"pupil, apprentice"
snar,"quick, swift "
å rette,"to correct, mark, straighten, direkt, aim"
en stat,state 
å slippe,"to let go of, drop "
å samle,"to collect, gather "
ellers,otherweise; or (else)
å fungere,"to act, officiate"
fri,to propose
å bestemme,to appoint; decide; determine
et poeng,point 
takk -en,[the] thanks
å melde,"to announde, report"
ei erfaring,experience
et samarbeid,co-operation
inne,"indoors, inside, in, within; arrived, at hand"
grei,"clear, obvious"
å spise,to eat 
flott,"generous, liberal, openhanded, superb, grand"
hennes,"her, hers <possessive case of hun, ho>"
å søke,"to apply, seek"
positiv,positive 
august,August
et minutt,minute 
bort,"away, off (motion)"
å passe,"to suit, fit, tend "
fast,"firm, fixed, solid, stable, permanent"
en leder,leader
et ansvar,responsibility
økonomisk,"financial, economic"
en TV,TV
en nyhet,news 
å falle,to fall
ei mening,"meaning, sense "
et tilfelle,"instance, case, occurrence"
november,November 
å handle,"to act; deal, trade"
å hete,to be called
å sikre,to secure
et antall,number
utenfor,"outside, off, out of "
fredag,Friday
fem,five
utrolig,"incredible, unbelievable"
ifølge,"according to, in accordance with"
ei løsning,"answer, solution (of a problem)"
å regne,"to rain; estimate, reckon "
nødvendig,"necessary, essential "
lørdag,Saturday
en periode,"period, cycle "
ei bu,"hut, shack, shanty"
juni,June
lokal,local
en tekst,text 
ei behandling,"treatment, handling"
å redusere,to reduce
å reise,"to leave, travel, depart"
å benytte,"to make use of, use"
et marked,"fair, market"
et parti,party 
hverandre,each other
å anbefale,to recommend
en klubb,club
en blogg,"blog, weblog "
stadig,steady
et tiltak,"measure, action, attempt"
en sesong,season 
å trene,"to train, work out"
en spiller,player 
en sommer,summer 
et kamera,camera
en forelder,parent 
et hus,house
å delta,"to join, participate, share, take part"
ei oppgave,"task, duty, commission, exercise"
amerikansk,American
en kropp,"body; trunk; fellow, guy"
hjemme,at home
generell,general
en rapport,"report, bulletin "
en debatt,"debate, discussion"
huske -a,"[the] swing, seesaw, rock "
hard,hard; stiff
å svare,to answer
en høst,autumn 
søndag,Sunday 
nemlig,"that is (to say), namely"
en forbindelse,connection
å flytte,to move
et innhold,content; contents; capacity
direkte,"direct, immeadiate"
aktuell,"up to the minute, of current interest"
kunnskap -en,[the] knowledge
å mangle,to lack; be short of
en meter,meter
et alternativ,alternative
tross,in spite of 
ei hånd,hand
spennende,"exciting, thrilling "
per,"near, by, a, per "
mandag,Monday 
aktiv,active
en far,father
januar,January
privat,"private, personal"
å arbeide,"to labor, toil, work"
fjor,i ~ = last year
total,total
fort,"fast, quick"
å avtale,"to agree upon, arrange"
sosial,social 
å knytte,"to knot, tie"
et rom,room 
et kurs,"course, direction; currency; quotation"
ei endring,"alteration, change"
foran,"before, in front of, ahead of"
å levere,"to deliver, furnish"
sentral,central 
å skjønne,"to understand, see, notice"
torsdag,Thursday 
upassende,"improper, unseemly "
en tanke,"thought, idea"
innenfor,"inside; within, back of, beyond"
ei rolle,"role, part"
å ende,"to end, finish"
nettopp,"just, exactly, precisely "
en tjeneste,"service, favor, help "
en aktivitet,activity
å hente,"to fetch, go after"
ei forskning,"investigation, research"
glad,"glad, happy"
å miste,to lose 
å bestå,"to live through, pay; continue"
onsdag,Wednesday 
ei mor,mother 
en hilsen,"greet, salutation, regards"
april,April
åpen,"open, exposed, candid, frank, vacant"
en forskjell,difference
helst,"preferably, rather"
en organisasjon,organization
ei fremtid,future
å forsøke,"to attempt, try"
en kvalitet,quality
en rest,"rest, remainder"
politi -et,[the] police 
interesse -n,[the] interest
en verdi,"value, worth"
støtte -a,"[the] column, pillar, pedestal"
en ball,ball
eventuell,"(any) possible, prospective"
et øye,eye 
ferdig,"prepared, ready"
en stemme,"voice, vote, voter "
å koste,to cost
ålreit,all right
et utgangspunkt,"point of departure, starting point, basis "
ene,alone
svart,black 
personlig,personal 
ren,"clean, pure, sheer; faultless, true "
selvfølgelig,"obvious, natural, inevitable"
en krig,"war, warfare"
en telefon,telephone
ei natt,night 
å dele,"to divide, partition; share"
et produkt,product
et miljø,environment 
et råd,"advice, counsel "
via,via
følgende,"following, next"
et system,system 
februar,February
slett,"even, level, smooth"
lik,"like, similar to"
en morgen,morning 
vær -et,"[the] weather, storm, breath"
ekstra,extra
endelig,"final, ultimate"
en masse,"mass, substance; quantity"
et hode,head
å klage,to complain
å basere,to base
selvsagt,"of course, naturally, surely "
ei bedrift,achievement; (industrial) concern
å inneholde,"to contain, hold"
en ungdom,"youth, young people "
et lys,light; lighting
en lege,"doctor, physician"
ei utdanning,education 
en politikk,politics; policy 
et tilbud,"bid, offer; quotation"
ti,ten 
en milliard,"thousand million, billion"
rød,red 
en kontroll,"check, checking; control"
dessuten,"besides, in addition, moreover"
fornøyd,"content, gratified, satisfied"
ei klokke,"bell; clock, watch"
ei myndighet,"authority, power "
en hest,horse; pony; mount
en sammenheng,"relation, connection, coherence"
å opprette,to set up; establish
ei utfordring,challenge 
å tilby,to offer 
et tak,ceiling 
å hevde,"to assert, claim, defend"
en virksomhet,"activity, work, operations"
nedpå,down (on)
en styrke,strength
en klasse,class; grade; classroom
ei helse,"health, vigor"
uti,"in, out in "
aller,"by far, of all, very"
ei liste,list
fantastisk,"fanciful, fantastic"
skikkelig,"decent, respectable "
et nivå,level 
ei lyst,desire
interessant,interesting
desember,December
ei avis,newspaper
kraftig,"powerful, strong"
alene,alone
unna,"away from, clear of, away, off"
ei helg,holiday; Sunday; weekend; sanctity
en bakgrunn,background
en start,start 
forrige,"(the) former, preceding"
en praksis,"practice, work experience "
å stoppe,to stop 
en tråd,"thread, cotton, wire, fibre"
en sjanse,"chance, break "
viss,"certain, sure "
normal,normal
slags -en/-et,"[the] kind, sort, type"
billig,cheap; reasonable
felles,"common, collective, joint"
en pasient,patient 
å forklare,"to explain, expound, interpret"
enten,either; whether
en effekt,"effect, sensation"
å kaste,to throw; cast; shed
en aksje,"share, stock"
et grunnlag,"basis, foundation"
naturlig,"natural, real, native "
en undersøkelse,"examination, investigation"
ei vekt,weight 
en kunde,customer
å tjene,to earn; serve
ei dør,door
å bytte,"to change, exchange, interchange; swap, trade"
et fokus,"focus, centre"
en kultur,culture
en lærer,(man) teacher
å dekke,"to cover, pay (bills, debts, etc.); set (a table)"
å presentere,"to present, introduce "
en forfatter,author
nasjonal,national 
å drepe,"to kill, put to death, slay"
å forvente,"to expect, anticipate"
en fisk,fish
tilgjengelig,"accessible, available"
hvit,white 
alvorlig,"serious, grave"
en gjest,guest
å slite,"to toil, struggle; work hard"
gratis,"free, free of charge"
en modell,"model, pattern, shape, form "
å fylle,"to fill, cram, stuff"
ei betydning,meaning; importance
å merke,"to mark, note, notice, get "
å glemme,to forget
en politiker,politician 
å kjempe,"to conted, fight"
en farge,"color, hue, shade, tint"
å foreslå,to propose
et salg,"sale, sales "
å henge,"to be hanging, hang"
ei jul,Christmas day
voksen,"adult, grown-up "
gæren,"angry, mad"
å planlegge,"to make plans for, plan "
atten,eighteen
en årsak,"cause, reason, occasion"
å slutte,"to end, close, conclude "
ingenting,"nothing, not anything"
deretter,"after that, afterwards; accordingly"
en følelse,feeling
en båt,"boat (row/sail); ship, vessel"
å tilsvare,"to correspond to, be the same as"
en video,video
å diskutere,to discuss
å utføre,"to export, perform, execute"
å elske,to love
ei stilling,position; employment 
å etablere,to establish
å tape,to lose
juli,July
å unngå,"to avoid, escape"
ei skøyte,skate 
daglig,daily
en opplevelse,experience 
en forsker,"investigator, scientist"
å vokse,"to grow, increase; wax"
å behandle,"to handle, deal with"
å beskrive,"to write upon, fill with writing; describe"
dessverre,unfortunately
ei vurdering,"appreciation, evaluation"
sex -en,[the] sex 
derimot,on the other hand; however
ei kraft,"force, power, strength"
å bryte,"to break; disconnect, discontinue"
morsom,"funny, amusing, enjoyable "
ei kirke,church
å utsette,"to put off, postpone; defer"
seks,six 
overfor,"directly opposite, facing; towards, to "
tydelig,"clear, evident "
en sykdom,sickness
et studium,study 
absolutt,absolute
en seier,victory 
en ledelse,"conduct, direction, management"
engelsk,English
tirsdag,Tuesday 
en lyd,(group of) people; family
negativ,negative 
halv,half
Norge ,Norway
død,"dead, lifeless"
ei trening,training
en tittel,"title, occupation "
å love,to promise
å satse,"to stake, put, take off"
en konsekvens,consistency; consequence
ei grense,"border, boundary"
å skille,to separate
ei melding,"announcement, report"
en karakter,character
from,"pious, gentle, meek"
fremre,"foremost, front"
å eie,"to have, own, possess"
gal,"crazy, angry"
å oppnå,to achieve 
en diskusjon,discussion
fysisk,"bodily, physical"
å påvirke,"to affect, influence "
et styre,"government, administration "
å fly,"to fly; leave, run"
å skyte,"to shoot; put out, send out"
et hensyn,consideration
fremover,"ahead, forward "
å oppta,"to admit, take up, occupy "
et besøk,visit; attendance
ei bane,"path; railroad; course, field"
selve,"(her-, him-, it-)self"
å føde,"to feed, nourish"
å motta,"to receive, greet "
å arrangere,to arrange
et medium,medium 
svak,weak 
en økonomi,"economics; economy, finances "
å gjennomføre,"to accomplish, carry out/through"
en versjon,version 
en fare,"danger, hazard, risk"
et nett,net 
en kilde,"fountain, spring; [fig.] source"
tredje,third 
betydelig,considerable
en natur,nature 
ennå,"still, yet, more"
en bank,bank
å forsvinne,"to disappear, fade away, vanish"
praktisk,"practical, handy "
en fotball,"soccer, soccer ball"
verken,"neither, nor, either "
en test,test
imot,towards; against
ei visning,showing
et rekkehus,row house
å avslutte,"to bring to an end, conclude"
et bosted,"abode, residence"
å tillate,"to permit, allow, suffer, tolerate "
øvrig,remaining 
borte,"away, off (place)"
ei stund,hour 
rik,"rich, wealthy, abundant "
såkalt,so-called 
en konkurranse,"competition, contest"
lykke -a,"[the] (good) fortune, luck; happiness"
en idé,idea
å drikke,to drink
en sjekk,cheque 
rar,"odd, quaint, strange, funny "
en skade,damage
vakker,"beautiful, handsome "
å treffe,"to meet, come across; hit, strike"
å sørge,"to grieve, be grieved "
en serie,"series, set "
trygg,"secure, safe, confident "
en barnehage,day nursery
et punkt,point 
makt -a,"[the] force, might"
faglig,"professional, technical"
tvil -en,[the] doubt 
en logg,[naut.] log
tung,heavy 
en funksjon,function
et fag,"line, profession; field, subject"
syk,sick 
å stige,"to climb, mount; rise"
et forsøk,"attempt, test"
en bjørn,bear; big strong man
et bein,"bone; foot, leg"
relativ,relative 
å overraske,"to surprise, astonish "
en prosess,"process, procedure, proceedings "
fremdeles,still
å løse,"to loosen, release; buy, take out"
en evne,"ability, faculty, power"
en anledning,"cause, reason"
høyre,"right, right-handed"
å produsere,to produce
effektiv,"effective, efficient, actual"
å sammenligne,"to collate, compare "
å innebære,to imply
en buss,bus
en leser,reader
å synge,to sing 
teknisk,"technological, technical "
tilgang -en,"[the] access, admission, supply"
å interessere,to interest
å sjekke,to check; pick up
et utvalg,"selection, choice "
ei dame,lady; woman
å redde,"to rescue, salvage, save "
et universitet,university 
en omgang,"round, row, half time, treatment "
en profil,profile
et skriv,letter 
et språk,"language, speech"
farlig,"dangerous, hazardous"
verdt,worth
å inkludere,to include
en oversikt,"overview, synopsis, outline, summary "
et middel,"means, medium, agent "
glede -a,"[the] gladness, happiness"
et tap,loss
en alder,age
en metode,"method, system "
et syn,"sight, vision"
å eksistere,to exist
å takke,to thank
fjern,"far, distant, far-off, remote"
digital,digital 
ete,"to eat (usu. of animals, derog., dial.]"
en størrelse,"size, quantity, extent"
avhengig,dependent
å bære,to carry (an object); bear (a weight)
en kompetanse,"authority, jurisdiction; competence"
en sang,song 
plutselig,sudden
sann,"real, true"
ei inntekt,"income; profit, revenue"
et brev,letter
et sykehus,hospital 
utover,"outwards, beyond, past "
å plassere,to place 
en e-post,e-mail 
omtrent,"about; nearly, almost "
å organisere,to organize
å vedta,"to agree, pass, adopt"
en stand,standing; state
svensk,Swedish 
en risiko,"risk, hazard, danger "
å besøke,to visit; attend
midt,middle 
et uttrykk,"expression, look; phrase, term"
et press,"pressure, strain, stress "
en anmeldelse,critique; report (to police); entry (e.g. in contest)
å teste,to test
å ødelegge,"to demolish, destroy"
ei opplysning,"enlightenment, information "
trolig,"likely, probable"
ei handling,"act, action"
populær,popular 
å imponere,to impress
å representere,"to represent, entertain"
dyp,"deep, intense, profound"
en konsert,concert; concerto
en kritikk,criticism
en produksjon,production
en deltaker,"member, participant"
å inngå,"to contract, enter into"
å invitere,"to ask, invite"
tysk,German 
å foreta,"to carry out, do, make, undertake"
kjent,"acquainted, familiar"
tett,"tight, dense"
en knapp,button; knob
inntil,"as far as, to; against"
et faktum,"circumstance, fact"
et utstyr,"equipment, outfit, appointments"
en standard,standard
gjennomført,"consistent, thorough "
et tegn,"sign, mark, symbol"
ei linje,line
en ressurs,resource 
en skjerm,"monitor, display "
ei befolkning,"populace, population"
T-bane -n,[the] subway 
ei retning,direction 
å skaffe,"to get, get hold of, come by, secure"
en tube,tube 
moderne,"up-to-date, modern"
olje -a,[the] oil 
en skatt,tax 
en tale,"speech, talk"
å lansere,to launch
rimelig,"reasonable, fair, likely "
en president,president 
en konge,king
tusen,thousand 
å dukke,"to dip, dive, duck; bend, bow"
enorm,"enormous, huge"
et bibliotek,library
en mengde,"amount, quantity, multitude "
et næringsliv,"trade, economic life "
bred,"broad, wide; extensive; common; boastful"
et vedtak,"decision, resolution"
ei vare,"ware, goods"
et sentrum,centre 
å fremme,"to encourage, promote"
sjelden,seldom
hyggelig,"cheerful, comfortable"
å bekrefte,to confirm
ansvarlig,responsible
en fordel,"forepart, front part"
å oppstå,"to come into being, break out, arise"
en rettighet,"right, privilege "
å oppdage,"to discover, find out, find "
å foregå,"to go on, happen, take place"
en teknologi,technology 
å innføre,to introduce; import
å utgjøre,"to constitute, make, form"
å re,to prepare; make (the bed)
lignende,"comparable, like, similar"
å uttale,"to pronounce, articulate; declare"
kristen,Christian
oppe,up
dansk,Danish
et stoff,fabric; matter 
frisk,"healthy, fresh"
et kjøp,"buying, purchase"
et hjerte,heart
å begrense,"to bound, limit"
å skyldes,"to be attributed to, be owing to"
vekst -en,"[the] growth, stature, increase"
varm,warm 
post -en,"[the] mail, post "
umulig,impossible 
en sau,sheep 
opprinnelig,original 
ei kjærlighet,affection
en vinter,winter 
skyld -a,[the] fault; debt 
varme -en,"[the] warmth, heat"
et hotell,hotel
flink,"able, clever, competent"
grønn,"green; fresh, verdant"
global,global
en forståelse,comprehension
mørk,dark
å minne,"to remind, put in mind"
å godkjenne,"to approve, pass, confirm"
å hende,"to happen, occur"
å varsle,"to alert, notify"
et bord,table; board (of ship)
tradisjonell,traditional 
en part,"part, portion, share "
ei gate,"street, avenue"
en konto,[merc.] account
enhver,"every (-one, -body)"
å ringe,"to ring, call"
ei nettside,"site, internet site "
et materiale,material
et fjøs,cow barn
å omtale,to refer to; mention
en enebolig,single-family house
tom,"empty, void "
konkret,concrete
ei avdeling,"division, section"
historisk,historical
publikum -met,[the] (the) general public 
å snu,"to turn, turn back "
ytterligere,"further, additional"
ettersom,"as, according to whether (how), inasmuch as, since"
ei ramme,frame
europeisk,European
å trykke,"to print; depress, squeeze"
en unge,"youngster, child, kid"
en øl,beer 
kald,cold
foreløpig,"preliminary, provisional, temporary"
en link,(Internet) link; chain of radio stations
å omfatte,"to include, involve; comprise, embrace, cover "
syv,seven 
usikker,"doubtful, uncertain, insecure"
å nekte,to deny
øvre,upper 
en søknad,"application, petition "
perfekt,perfect 
sikkerhet -a,[the] security 
en representant,representative 
mer,more 
et begrep,"comcept, conception; idea, notion"
langs,along
vekk,"away, gone, off "
et forsvar,defense
ei holdning,"carriage, posture"
en konflikt,conflict
ei maskin,engine; machine
nylig,"lately, of late, recently "
en tank,tank 
å stenge,"to close, shut "
et nettsted,"site, internet site "
å sove,"to sleep, be asleep "
vesentlig,substantial 
pen,"pretty, attractive, nice, neat, fine"
et nummer,number
snakk -en/-et,[the] talk 
en drift,"management, operation; bent, inclination"
et argument,argument
en begynnelse,"beginning, start"
ei kone,woman; wife
en journalist,journalist
å dreie,"to rotate, turn, twist"
et prinsipp,principle 
ei lenke,"chain, fetter"
en religion,religion 
å fjerne,"to remove, dismiss, eliminate"
et emne,"subject, topic"
en fred,peace
å kommentere,to give/write a commentary on
en katt,cat
å lete,"to look for, search"
en vestkant,west side 
en muslim,Muslim 
en teori,theory 
nede,"down, below "
et vis,"fashion, manner"
luft -a,[the] air
å hindre,to hinder
oppmerksomhet -a,[the] attention 
å fortjene,"to deserve, merit"
en bevegelse,"motion, movement; agiation, emotion, movement (for a cause)"
å variere,to vary
å dømme,"to convict, pass judgement"
omkring,"round, around, about"
ei ordning,arrangement
ekstrem,extreme
en butikk,"shop, store"
ei økning,"increase, growth "
klær,"clothes, clothing"
en virkelighet,"reality, fact, actuality"
årlig,"annual, yearly"
jord -en,"[the] ground; dirt, earth"
å forlate,"to leave, abandon"
sør,south 
dum,"dumb, stupid"
bortpå,"over at (in, on)"
en professor,professor 
kritisk,critical (in all meanings)
å fordele,"to apportion, distribute"
en banan,banana
annerledes,different
et stykke,piece 
velkommen,welcome 
mars,March; Mars
å understreke,"to stress, emphasize"
ei jakt,"[naut.] sloop; hunt, hunting"
fullstendig,"complete, entire"
løs,loose
omfattende,"comprehensive, wide-ranging "
et inntrykk,impression
å prege,"to stamp, imprint; mark"
et,"a, an (neutral), one"
å medføre,"to bring (along) with, carry; entail"
deilig,"beautiful, lovely; delicious"
å danne,"to form, make, shape, cultivate"
heldigvis,"furtunately, luckily"
Kina,China
et kontor,office
å avgjøre,"to decide, settle; ascertain, make out"
en strategi,strategy 
en kostnad,"cost, expense"
å bestille,to order; do
energi -en,[the] energy
å studere,to study 
innom,"inside, in; at"
å tilpasse,"to adapt, adjust, fit"
å peke,to point 
å stikke,"to prick, stick, stab"
å fiske,"to angle, catch (fish)"
undervisning -a,"[the] education, training, schooling "
ei havn,"harbor, port; docks"
en art,"(inborn) character; kind, nature"
å beholde,"to keep, retain"
neppe,"hardly, scarcely "
en rygg,back; ridge
en gård,farm
britisk,British
en fugl,bird
lønn -en,"[the] payment, return; salary"
en strikk,"elastic, elastic band"
å tvinge,"to force, compel, coerce "
lei,"mean, nasty"
å spare,"to save, save up, spare"
en aktør,actor; participant [obs.]
en institusjon,institution
et formål,"aim, object"
et band,"hand, ribbon"
videregående,"further, more extensive "
en direktør,director
å måle,to measure
ei not,fish net; groove
en vegg,"wall, partition "
å frykte,"to be afraid of, fear"
kunst -en,[the] art
å reagere,"to react, respond "
å innrømme,"to allow, give; admit, concede"
en hverdag,"weekday, working day"
å relatere,to relate 
en eiendom,"possession(s), property"
et sekund,second 
uavhengig,independent 
et ledd,(body) joint; link
et sitat,quotation 
fattig,"poor, humble"
å kutte,to cut
å engasjere,to engage
et flertall,majority; [gram.] plural
å rapportere,to report 
allikevel,"nevertheless, even so, after all"
å spre,"to disperse, scatter, spread"
en konklusjon,conclusion
et tidspunkt,point in time 
å redigere,"to edit, draft"
